id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1434,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Nueva Córdoba,11.09.2023,Alquiler Nueva Córdoba - Consúltanos opciones!!!
1463,Comercio,Alquileres,,,Moneda no identificada,Bº Alberdi,18.08.2023,Espectacular local comercial...
1503,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Observatorio,06.07.2023,VENDO DEPARTAMENTO UN DORMITORIO BARRIO OBSERVATORIO APROVECHAR!
1509,Casa,Alquileres,4.0,,Moneda no identificada,Bº Altos del Chateau,04.07.2023,¡Espectacular casa en alquiler Altos del Chateau!
1514,Comercio,Alquileres,,,Moneda no identificada,Bº Alem L.N.(E),28.06.2023,ALQUILER DE GALPÓN DE 1500 M2 EN PARQUE INDUSTRIAL POLO 52
1551,Comercio,Alquileres,,,Moneda no identificada,Bº Villa Esquiu,03.02.2023,GALPONES EN ALQUILER PROX AV. MALVINAS ARGENTINAS
1554,Casa,Alquileres,4.0,,Moneda no identificada,Bº Los Mimbres,22.12.2022,LOS MIMBRES EXCELENTE PROPIEDAD AMOBLADA
1560,null,null,,,Moneda no identificada,Bº Cerro de las Rosas,16.08.2022,LA MEJOR ESQUINA Y EL MEJOR LOCAL DE TEJEDA!! 300 CUB 250 DESC MAS TERRAZA
1590,null,null,,,Moneda no identificada,Bº Cañuelas Chicos,15.08.2023,Duplex en Alquiler de 3 Dor. Cañuelas Chico -1577-
1604,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,ALQUILO OFICINA AMOBLADA EN BARRIO CENTRO
1632,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.10.2023,EXCELENTE UBICACION - 100MTRS CUB
1633,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.10.2023,EXTERNA - MUY FUNCIONAL
1634,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.10.2023,EXCELENTE OPORTUNIDAD!! CATEGORIA 
1644,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,04.10.2023,COCHERAS Cubiertas para FLOTA de VEHICULOS 
1645,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,04.10.2023,COCHERAS CUBIERTAS C / VIG. 24 HS
1709,Comercio,Alquileres,,,Moneda no identificada,Bº Colón,16.09.2023,Alquiler Oficina comercial Cañada Office
1777,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,27.07.2023,ALQUILO LOCAL COMERCIAL CENTRO
1782,Departamento,Alquileres,3.0,,Moneda no identificada,Bº Nueva Córdoba,24.07.2023,Alquiler 3 dorm Torre plaza españa con vista unica
1797,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,23.06.2023,COCHERAS Cubiertas c / Vigilancia 24hs. Ricardo Rojas
1798,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,23.06.2023, COCHERAS EN BLOQUE P / FLOTA VEHICULAR EMPRESARIAL
1808,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,05.06.2023,DEPARTAMENTO. USO COMERCIAL! Oficinas  B° Centro
1810,Casa,Alquileres,3.0,,Moneda no identificada,Bº Cofico,31.05.2023,FIN USO COMERCIAL. Increíble Casa. 600m2 Cubiertos
1824,Comercio,Alquileres,,,Moneda no identificada,Bº Villa Gran Parque,17.04.2023, SERIEDAD Y GARANTIA 25 años de EXPERIENCIA!
1825,Casa,Alquileres,2.0,,Moneda no identificada,Bº Cofico,17.04.2023,A DUEÑOS ADMINISTRAMOS SU PROPIEDAD SIN COSTO!  
1826,Casa,Alquileres,2.0,,Moneda no identificada,Bº Alta Córdoba,17.04.2023,SU ALQUILER ASEGURADO! ADMINISTRAMOS su PROPIEDAD! 
1827,Casa,Alquileres,3.0,,Moneda no identificada,Bº Cofico,17.04.2023,Administramos SU PROPIEDAD  25 Años de Experiencia NOS AVALAN!
1831,Comercio,Alquileres,,,Moneda no identificada,Bº Guemes,08.03.2023,ALQUILER!!! PARKING ZONA TRIBUNALES CENTRO NUEVA CORDOBA!!! RENTA ASEGURADA!!!
1834,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,02.03.2023,ALQUILER OFICINA - 9 de Julio 100
1840,Comercio,Alquileres,,,Moneda no identificada,Bº Villa Esquiu,03.02.2023,GALPONES EN ALQUILER PROX AV. MALVINAS ARGENTINAS
1849,Comercio,Alquileres,,,Moneda no identificada,Bº San Carlos,10.01.2023,Alquiler de Galpon sobre Colectora zona sur cordoba
1850,Comercio,Alquileres,,,Moneda no identificada,Bº San Carlos,10.01.2023,Alquiler de Galpon sobre Colectora zona sur cordoba
1854,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,19.12.2022,"Zona mayorista  Córdoba,  muy buena ubicación: Alquilamos Gran local comercial"
1855,Comercio,Alquileres,,,Moneda no identificada,Bº San Fernando,19.12.2022,LOCAL ESQUINA Y DEPOSITO  /  /  140 M2 cubiertos
1867,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Villa Siburu,19.10.2022,ALQUILER!!! VILLA SIBURU!!! DEPTO UN DORMITORIO DISPONIBLE JUNIO
1869,Departamento,Alquileres,2.0,,Moneda no identificada,Bº Ipona,16.10.2022,ALQUILER TEMPORARIO IPONA-B° JARDIN!!! DEPTO DOS DORMITORIOS !!!
1877,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,31.08.2022,Cabalen Propiedades ofrece en Alquiler local comercial ubicado sobre calle 25  de
1889,Comercio,Alquileres,,,Moneda no identificada,Bº Cofico,29.06.2022,COFICO!!! ALQUILER COCHERA!!! JERONIMO LUIS DE CABRERA!!! LA MEJOR UBICA
1891,Comercio,Alquileres,,,Moneda no identificada,null,02.06.2022,ALQUILO TERRENO ZONA SUR (IDEAL COMPLEJO DEPORTIVO)
1911,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,05.07.2021,"Alquiler,  Excepcional Oficina,  piso completo 314 m2"
1912,Casa,Alquileres,3.0,,Moneda no identificada,Bº Valle Escondido,24.06.2021,ADMINISTRO SU PROPIEDADES - SERIEDAD - RESPONSABILIDAD - LIQUIDACIÓN ASEGURA
1918,Comercio,Alquileres,,,Moneda no identificada,Bº Los Sauces,18.11.2020,600 mtrs Camino Capilla de los Remedios (GA 302)
1919,Casa,Alquileres,1.0,,Moneda no identificada,Bº Nueva Córdoba,05.11.2020,RESIDENCIA UNIVERSITARIA FEMENINA - NVA CBA
1923,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,11.10.2020,Centro local 300cub zona Mercado calle Libertad e /  Alvear y Maipu
1927,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,24.07.2020,Centro local 300cub zona Mercado calle Libertad e /  Alvear y Maipu
1929,Comercio,Alquileres,,,Moneda no identificada,null,03.03.2020,ALQUILAMOS tu GALPÓN | + 35 años siendo Asesores de Grandes Empresas.
1942,Casa,Alquileres,1.0,,Moneda no identificada,Bº Talleres Este,08.10.2023,Alquiler
1956,Departamento,Alquileres,,,Moneda no identificada,Bº Centro,07.10.2023,BUSCO MONOAMBIENTE URGENTE!!
