id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1077,Comercio,Alquiler,,80000.0,Pesos,Bº Nueva Italia,08.10.2023,NUEVA ITALIA - VICTOR MANUEL III 1767 - GALPÓN EN ALQUILER
1078,Departamento,Alquiler,1.0,100000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Bº CENTRO . SANTIAGO DEL ESTERO N 42. 1 D . 1 B . EXPENSAS BAJAS!!!
1079,Comercio,Alquiler,,85000.0,Pesos,Bº Alberdi,08.10.2023,"ALBERDI- Av. Colon 720,  100 mts,  Dividi,  Z / Tribunales,  a mts Cañada"
1080,Comercio,Alquiler,,150000.0,Pesos,Bº Centro,08.10.2023,ofician Alquiler centro Córdoba
1081,Casa,Alquiler,,2300.0,Dólares,Bº Las Delicias,08.10.2023,CASA EN ALQUILER- BARRIO LAS DELICIAS! 
1082,Comercio,Alquiler,,450000.0,Pesos,Bº Centro,08.10.2023,Galpon con oficinas en pleno centro
1083,Comercio,Alquiler,,450000.0,Pesos,Bº Centro,08.10.2023,LOCAL EN ALQUILER SOBRE CASEROS 900
1085,Comercio,Alquiler,,25000.0,Pesos,Bº Centro,08.10.2023,CENTRO GALERIA DE LA FONTANA 9 DE JULIO 245
1086,Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,08.10.2023,B° Nueva Córdoba - 1 Dorm - Parana N° 510 - Expensas bajas!!
1087,Comercio,Alquiler,,80000.0,Dólares,Bº Centro,08.10.2023,"Oportunidada,  Venta oficina Office City,  Santa Rosa 320,  pleno centro Cordoba"
1088,Departamento,Alquiler,1.0,150000.0,Dólares,Bº Alto General Paz,08.10.2023," Miracielos,  Venta de 1 dormitorio amoblado,  cochera,  Excelente Amenities!!"
1089,Casa,Alquiler,4.0,250.0,Dólares,Bº El Bosque,08.10.2023,Alquiler Temporario El Bosque 
1090,Duplex,Alquiler,1.0,110000.0,Pesos,Bº Alberdi,08.10.2023,ALQUILER 27 DE ABRIL AL 2900 DUPLEX
1091,Casa,Alquiler,4.0,1500.0,Dólares,null,08.10.2023,LA MELINCA-CASA DE CATEGORIA AMOBLADA CON PILETA !!!
1092,Comercio,Alquiler,,20000.0,Pesos,Bº Ferreyra,08.10.2023,ALQUILER - LOCAL COMERCIAL DE 20 M2 APROX- B° FERREYRA
1093,Departamento,Alquiler,3.0,1200.0,Dólares,Bº Nueva Córdoba,08.10.2023,ALQUILER DEPTO CATEGORIA AMOBLADO IRIGOYEN NUEVA CBA 3 DORM BALCON
1094,Comercio,Alquiler,,40000.0,Pesos,Bº Centro,08.10.2023,CENTRO - LOCAL COMERCIAL - GALERIA PASEO DEL CAMINANTE! 65M!
1095,Comercio,Alquiler,,165000.0,Pesos,Bº Cabo Farina,08.10.2023,LOCAL EN ALQUILER ZONA SUR - VELEZ SARSFIELD 4800
1096,Comercio,Alquiler,,100.0,Pesos,Bº Centro,08.10.2023,|OFICINA CAPITALINAS| UNIFICABLES   -  TRIPLE AAA - C /  COCHERAS .
1098,Comercio,Alquiler,,100000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Nva Cba- Ctro Paraná 290 Doble Altura - 100mts.
1099,Departamento,Alquiler,1.0,75000.0,Pesos,Bº San Martin,08.10.2023,"SAN MARTIN 1 DORMITORIO,  MUY AMPLIO Y LINDO!!"
1100,Comercio,Alquiler,,100000.0,Pesos,Bº San Salvador,08.10.2023,AV.COLON Frente a Makro -LOCAL OFICINA
1101,Departamento,Alquiler,2.0,155000.0,Pesos,Bº Centro,08.10.2023,Centro Av. Gral Paz 636 SEMIPISO 2 dor ext c / balcón
1102,Comercio,Alquiler,,20000.0,Pesos,Bº Centro,08.10.2023,Local  /  Oficina Comercial en alquiler en Pleno Centro de Cordoba. 
1103,Comercio,Alquiler,,10.0,Dólares,Bº Centro,08.10.2023,OFICINA PREMIUM EN TORRE CAPITALINAS
1104,Departamento,Alquiler,2.0,180000.0,Pesos,Bº Teodoro Felds,08.10.2023,Departamento en complejo cerrado de 2 dormitorios 
1106,Departamento,Alquiler,3.0,114000.0,Dólares,Bº Centro,08.10.2023, Centro -Departamento 3 dormitorios en Venta
1107,Comercio,Alquiler,,40000.0,Pesos,Bº Alto Alberdi,08.10.2023,Local calle Ocaña 130 - A 1 cuadra de Duarte Quirós
1108,Comercio,Alquiler,,150000.0,Pesos,Bº Centro,08.10.2023,OFICINA ZONA CENTRO CERCA DE AFIP TRIBINALES SOBRE SAN JUAN AL 500
1109,Departamento,Alquiler,1.0,200000.0,Pesos,Bº Nueva Córdoba,08.10.2023,ALQUILER AMOBLADO 1 DORMITORIO  NUEVA CORDOBA
1110,Comercio,Alquiler,,11111.0,Dólares,null,08.10.2023,PARQUE EMPRESARIAL AEROPUERTO - ALQUILER OFICINAS
1113,Casa,Alquiler,4.0,2200.0,Dólares,Bº Lomas de la Carolina,08.10.2023,EL BOSQUE - ALQUILER - AMOBLADO - CASA
1114,Departamento,Alquiler,3.0,175000.0,Pesos,Bº Centro,08.10.2023,ALQUILO OFICINA CENTRO 
1115,Departamento,Alquiler,1.0,200000.0,Pesos,Bº Nueva Córdoba,08.10.2023,"ALQUILER 1 DORM "" AMOBLADO"" NUEVA CORDOBA"
