id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1291,null,Alquiler,,125000.0,Pesos,Bº Cerro de las Rosas,04.10.2023,SE ALQUILA LOCAL COMERCIAL 40 M2 SOBRE BERROTARÁN ESQ TEJEDA
1292,null,Alquiler,,140000.0,Pesos,Bº Nueva Córdoba,04.10.2023,ALQUILO DPTO NVA CORDOBA 1D
1297,null,Alquiler,,125000.0,Pesos,Bº Cerro de las Rosas,04.10.2023,SE ALQUILA LOCAL COMERCIAL 40 M2 SOBRE BERROTARÁN ESQ TEJEDA
1298,null,Alquiler,,140000.0,Pesos,Bº Nueva Córdoba,04.10.2023,ALQUILO DPTO NVA CORDOBA 1D
1309,null,Alquiler,,40000.0,Pesos,Bº Centro,03.10.2023,Alquilo Oficina En Pleno Centro Calle Duartes Quirós
1310,null,Alquiler,,160000.0,Pesos,Bº Nueva Córdoba,03.10.2023,Departamento un dormitorio alquiler Nueva Córdoba
1311,null,Alquiler,,160000.0,Pesos,Bº Nueva Córdoba,03.10.2023,Departamento un dormitorio alquiler Nueva Córdoba
1340,null,Alquiler,,240000.0,Pesos,Bº Nueva Córdoba,02.10.2023,ALQUILER DEPARTAMENTO DE 2 DORMITORIOS - NUEVA CÓRDOBA
1352,null,Alquiler,,80000.0,Pesos,Bº San Martin,29.09.2023,ALQUILO DPTO UN DOR SAN MARTIN
1353,null,Alquiler,,50000.0,Pesos,Bº Centro,29.09.2023,ALQUILO OFICINA COMERCIAL CENTRO
1356,null,Alquiler,,18000.0,Pesos,Bº Centro,28.09.2023,"Alquilo Local ""Galería Las Américas"""
1376,null,Alquiler,,155000.0,Pesos,Bº Alta Córdoba,25.09.2023,DISPONIBLE OCTUBRE. ALQUILER Depto 1 dorm.  ALTA CÓRDOBA. P.B. Pequeño Patio
1377,null,Alquiler,,130000.0,Pesos,Bº Nueva Córdoba,25.09.2023,"Nva. Cba-Ctro,  Parana 195,  Coc / Sep,  Ampl,  Balc ext"
1388,null,Alquiler,,95000.0,Pesos,Bº Alto Alberdi,22.09.2023,Alto Alberdi - 1 dormitorio.
1389,null,Alquiler,,20000.0,Pesos,Bº Centro,22.09.2023,"Oficina céntrica sobre calle Lima y Rivadavia,  primer piso"
1404,null,Alquiler,,120000.0,Pesos,Bº General Paz,21.09.2023,Alquiler de Salón comercial en Barrio General Paz
1407,null,Alquiler,,95000.0,Pesos,Bº Centro,20.09.2023,Alquilo. Departamento. Apto uso comercial o vivienda. Centro.
1409,null,Alquiler,,100000.0,Pesos,Bº Sarmiento,20.09.2023,Alquilo Excelente Ubicacion Zona Bancaria y Comercial
1420,null,Alquiler,,150000.0,Pesos,Bº Alberdi,14.09.2023,SE ALQUILA DPTO C / AGUA Y EXP INCLUIDAS - 1 DORM-LIV / COM-COC-BAÑO-BALCON 
1422,null,Alquiler,,150000.0,Pesos,Bº Jardín,14.09.2023,LOCAL EN ALQUILER AV RICHIERI
1427,null,Alquiler,,85000.0,Pesos,Bº Providencia,14.09.2023,"UN DORM PB ,  COMEDOR,  PATIO INTERNO,  COCHERA B|PROVIDENCIA "
1428,null,Alquiler,,280000.0,Pesos,Bº Manantiales,13.09.2023,CASONAS DE MANANTIALES. Alquiler Departamento 2 dorm. c / cochera. 
1440,null,Alquiler,,70000.0,Pesos,Bº General Paz,08.09.2023,DEPTO GRAL PAZ - ECONOMICO - 2 DOR
1442,null,Alquiler,,130000.0,Pesos,Bº General Paz,08.09.2023,"Alquiler dpto un dorm. C / Balcon,  Amenities,  CATEGORIA!!"
1445,null,Alquiler,,100000.0,Pesos,Bº Nueva Córdoba,07.09.2023,Nueva Cordoba Alquilo Local
1446,null,Alquiler,,100000.0,Pesos,Bº Centro,07.09.2023,Alquiler Duarte Quiros 969 Un (1) dormitorio Centro
1450,null,Alquiler,,140000.0,Pesos,Bº Nueva Córdoba,05.09.2023,Departamento de 1 dormitorio en alquiler.
1452,null,Alquiler,,110000.0,Pesos,Bº Nueva Córdoba,02.09.2023,DEPARTAMENTO EN NUEVA CBA MUY BIEN UBICADO
1453,null,Alquiler,,95000.0,Pesos,Bº Centro,01.09.2023,Alquilo. Departamento. Apto uso comercial o vivienda. Centro.
1455,null,Alquiler,,20000.0,Pesos,Bº General Paz,31.08.2023,General Paz - Cochera Amplia - Complejo Sonoma Ribera
1465,null,Alquiler,,90000.0,Pesos,Bº Centro,18.08.2023,CTRO CASEROS DOR ZONA MUNICIPALIDAD CBA  
1466,null,Alquiler,,160000.0,Pesos,Bº Alberdi,18.08.2023,EXCELENTE ALQUILER TEMPORARIO DE DOS DORMITORIOS!!!!
1468,null,Alquiler,,145000.0,Pesos,Bº Nueva Córdoba,17.08.2023,HERMOSO DEPTO CON BALCON FRENTE!
1469,null,Alquiler,,140000.0,Pesos,Bº Nueva Córdoba,17.08.2023,HERMOSO DEPTO CON BALCON AMPLIO FRENTE!
1470,null,Alquiler,,100000.0,Pesos,Bº General Paz,17.08.2023,"DEPTO EN ALQUILER,  GRAL PAZ,  "
1471,null,Alquiler,,65000.0,Pesos,Bº Alberdi,17.08.2023,Reservado
1473,null,Alquiler,,180000.0,Pesos,Bº Centro,16.08.2023,Alquiler Depto 2 Dormitorios c /  Balcón en el Centro excelente ubicación 
1477,null,Alquiler,,130000.0,Pesos,Bº General Paz,14.08.2023,Alquilo Barrio General Paz depto 1 dor
1478,null,Alquiler,,33000.0,Pesos,Bº Villa Revol,09.08.2023,ALQUILER Bº VILLA REVOL TANDIL 1600 LOCAL 20M2 
1482,null,Alquiler,,120000.0,Pesos,Bº Centro,08.08.2023,Jujuy a metros de Colón Planta libre 2 baños Subsuelo LOCAL ALQUILER CENTRO
1483,null,Alquiler,,65000.0,Pesos,Bº Centro,04.08.2023,CENTRO MTS TRIBUNALES
1486,null,Alquiler,,350000.0,Pesos,Bº Nueva Córdoba,27.07.2023,SE ALQUILA HERMOSA CASONA COMERCIAL EN PLENA NVA CBA
1487,null,Alquiler,,112300.0,Pesos,Bº Parque San Vicente,26.07.2023,B° PARQUE SAN VICENTE-ACOSTA N° 1293
1491,null,Alquiler,,270000.0,Pesos,Bº Villa Warcalde,20.07.2023,VILLA WARCALDE AMPLIO JARDIN (Ver vídeo)
1499,null,Alquiler,,2000.0,Dólares,Bº Los Boulevares,13.07.2023,GALPON PREMIUN A 1 1 / 2 CUADRA DE BOULEVARD DE LOS ALEMANES - LO VAMOS A  VISITAR?
1501,null,Alquiler,,80000.0,Pesos,Bº Pueyrredon,11.07.2023,B PUEYRREDON AV PATRIA 1453
1502,null,Alquiler,,45000.0,Pesos,Bº Cerro de las Rosas,06.07.2023,Local en Galería Precedo 
1504,null,Alquiler,,120000.0,Pesos,Bº Nueva Córdoba,06.07.2023,Alquilo Dpto 1 Dormitorio Amplio C / Balcón y Amenities Bº Nueva Córdoba.
1505,null,Alquiler,,110000.0,Pesos,Bº General Paz,06.07.2023,Alquilo Dpto 1 Dormitorio C / Balcón a 1 Cuadra Av. 24 de Septiembre Bº  General
1507,null,Alquiler,,16000.0,Pesos,Bº Centro,05.07.2023,COCHERA B° CENTRO . ITUZAINGO N 169 . EDIF. SIRIO LIBANÉS . GASTOS  INCLUIDO
1508,null,Alquiler,,95000.0,Pesos,Bº Centro,05.07.2023,"ALQUILER - Local Comercial 60mts2 aprox. c /  Sótano,  Depósito y Baño -$95.000"
1512,null,Alquiler,,25000.0,Pesos,Bº Villa Union,29.06.2023,"Bº VILLA UNION,  SOBRE CALLE PRINCIPAL.-"
1513,null,Alquiler,,65000.0,Pesos,Bº Cofico,29.06.2023,Alquilo Oficina C / Privado en Excelente Ubicación Bº Cofico
1516,null,Alquiler,,115000.0,Pesos,Bº Nueva Córdoba,23.06.2023,ALQUILER Depto. 1 dm - Nueva Córdoba
1517,null,Alquiler,,130000.0,Pesos,Bº Alta Córdoba,23.06.2023,ALQUILER DEPARTAMENTO UN DORMITORIO Y ½ Bº COFICO
1518,null,Alquiler,,110000.0,Pesos,Bº Nueva Córdoba,23.06.2023,"Ituzaingo 750,  Un dormitorio"
1519,null,Alquiler,,80000.0,Pesos,Bº Alberdi,22.06.2023,CENTRO 9 DE JULIO 800
1520,null,Alquiler,,270000.0,Pesos,Bº Chacra del Norte,21.06.2023,CHACRA DEL NORTE ALQUILER 3 DORM NUEVO!!!!
1522,null,Alquiler,,108500.0,Pesos,Bº Los Gigantes,13.06.2023,EXECELENTE OPORTUNIDADS B°Los Gigantes
1523,null,Alquiler,,130000.0,Pesos,Bº General Paz,12.06.2023,Video! 2d Gral Paz + Coch Opcional. Calefacción. Sum. Piscina. 4R-334
1524,null,Alquiler,,150.0,Pesos,Bº Manantiales,12.06.2023,Alquilo DEPTO en Manantiales
