TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Departamento,Alquiler,1.0,70000.0,Pesos,Bº Centro,22.02.2023,Pleno Centro - Oportunidad increible!!
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Prados de Manantiales,09.12.2022,Prados de Manantiales. Realmente único en Calidad. Ver para creer!
Departamento,Alquiler,1.0,47000.0,Pesos,Bº Centro,01.12.2022,Hermoso Depto 1 dorm Interno Cañada y Colon
Departamento,Alquiler,1.0,55000.0,Pesos,Bº Observatorio,08.10.2023,AV. PUEYRREDON 1043 OBSERVATORIO LOCAL COMERCIAL EN ALQUILER 
Departamento,Alquiler,3.0,300000.0,Pesos,Bº Urca,08.10.2023,ALQUILA -  COSTANERA - URCA - DUPLEX 3 DORM DOS BAÑOS
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,06.10.2023,CENTRO - ALQUILER - Te lo vas a perder? INCREIBLE ZONA! 1D!
Departamento,Alquiler,1.0,125000.0,Pesos,Bº Nueva Córdoba,06.10.2023,ALQUILER -  AMPLIA OFICINA FRENTE AL MERCADO SUD - NUEVA CÓRDOBA
Departamento,Alquiler,2.0,130000.0,Pesos,Bº Santa Rita,05.10.2023,2 DORMITORIOS 
Departamento,Alquiler,1.0,175000.0,Pesos,Bº Nueva Córdoba,05.10.2023,B° Nva Cba - Illia 413 – 1 Dorm Aire Ac – Moderno  / Luminoso – Balcón
Departamento,Alquiler,1.0,180000.0,Pesos,Bº Claros del Bosque,04.10.2023,LOCAL 11 DE SEPTIEMBRE Y CIRCUNVALACION! 100 MTS!!
Departamento,Alquiler,1.0,125000.0,Pesos,Bº Cerro de las Rosas,04.10.2023,SE ALQUILA LOCAL COMERCIAL 40 M2 SOBRE BERROTARÁN ESQ TEJEDA
Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,04.10.2023,ALQUILO DPTO NVA CORDOBA 1D
Departamento,Alquiler,1.0,125000.0,Pesos,Bº Cerro de las Rosas,04.10.2023,SE ALQUILA LOCAL COMERCIAL 40 M2 SOBRE BERROTARÁN ESQ TEJEDA
Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,04.10.2023,ALQUILO DPTO NVA CORDOBA 1D
Departamento,Alquiler,1.0,40000.0,Pesos,Bº Centro,03.10.2023,Alquilo Oficina En Pleno Centro Calle Duartes Quirós
Departamento,Alquiler,1.0,160000.0,Pesos,Bº Nueva Córdoba,03.10.2023,Departamento un dormitorio alquiler Nueva Córdoba
Departamento,Alquiler,1.0,160000.0,Pesos,Bº Nueva Córdoba,03.10.2023,Departamento un dormitorio alquiler Nueva Córdoba
Departamento,Alquiler,2.0,240000.0,Pesos,Bº Nueva Córdoba,02.10.2023,ALQUILER DEPARTAMENTO DE 2 DORMITORIOS - NUEVA CÓRDOBA
Departamento,Alquiler,1.0,80000.0,Pesos,Bº San Martin,29.09.2023,ALQUILO DPTO UN DOR SAN MARTIN
Departamento,Alquiler,1.0,50000.0,Pesos,Bº Centro,29.09.2023,ALQUILO OFICINA COMERCIAL CENTRO
Comercio,Alquiler,1.0,18000.0,Pesos,Bº Centro,28.09.2023,"Alquilo Local ""Galería Las Américas"""
